code,link,video,pattern
0217-contains-duplicate,contains-duplicate/,3OamzN90kPg,Arrays & Hashing
0242-valid-anagram,valid-anagram/,9UtInBqnCgA,Arrays & Hashing
0001-two-sum,two-sum/,KLlXCFG5TnA,Arrays & Hashing
0049-group-anagrams,group-anagrams/,vzdNOK2oB2E,Arrays & Hashing
0347-top-k-frequent-elements,top-k-frequent-elements/,YPTqKIgVk-k,Arrays & Hashing
0238-product-of-array-except-self,product-of-array-except-self/,bNvIQI2wAjk,Arrays & Hashing
0036-valid-sudoku,valid-sudoku/,TjFXEUCMqI8,Arrays & Hashing
0271-encode-and-decode-strings,encode-and-decode-strings/,B1k_sxOSgv8,Arrays & Hashing
0128-longest-consecutive-sequence,longest-consecutive-sequence/,P6RZZMu_maU,Arrays & Hashing
0125-valid-palindrome,valid-palindrome/,jJXJ16kPFWg,Two Pointers
0167-two-sum-ii-input-array-is-sorted,two-sum-ii-input-array-is-sorted/,cQ1Oz4ckceM,Two Pointers
0015-3sum,3sum/,jzZsG8n2R9A,Two Pointers
0011-container-with-most-water,container-with-most-water/,UuiTKBwPgAo,Two Pointers
0042-trapping-rain-water,trapping-rain-water/,ZI2z5pq0TqA,Two Pointers
0121-best-time-to-buy-and-sell-stock,best-time-to-buy-and-sell-stock/,1pkOgXD63yU,Sliding Window
0003-longest-substring-without-repeating-characters,longest-substring-without-repeating-characters/,wiGpQwVHdE0,Sliding Window
0424-longest-repeating-character-replacement,longest-repeating-character-replacement/,gqXU1UyA8pk,Sliding Window
0567-permutation-in-string,permutation-in-string/,UbyhOgBN834,Sliding Window
0076-minimum-window-substring,minimum-window-substring/,jSto0O4AJbM,Sliding Window
0239-sliding-window-maximum,sliding-window-maximum/,DfljaUwZsOk,Sliding Window
0020-valid-parentheses,valid-parentheses/,WTzjTskDFMg,Stack
0155-min-stack,min-stack/,qkLl7nAwDPo,Stack
0150-evaluate-reverse-polish-notation,evaluate-reverse-polish-notation/,iu0082c4HDE,Stack
0022-generate-parentheses,generate-parentheses/,s9fokUqJ76A,Stack
0739-daily-temperatures,daily-temperatures/,cTBiBSnjO3c,Stack
0853-car-fleet,car-fleet/,Pr6T-3yB9RM,Stack
0084-largest-rectangle-in-histogram,largest-rectangle-in-histogram/,zx5Sw9130L0,Stack
0704-binary-search,binary-search/,s4DPM8ct1pI,Binary Search
0074-search-a-2d-matrix,search-a-2d-matrix/,Ber2pi2C0j0,Binary Search
0875-koko-eating-bananas,koko-eating-bananas/,U2SozAs9RzA,Binary Search
0153-find-minimum-in-rotated-sorted-array,find-minimum-in-rotated-sorted-array/,nIVW4P8b1VA,Binary Search
0033-search-in-rotated-sorted-array,search-in-rotated-sorted-array/,U8XENwh8Oy8,Binary Search
0981-time-based-key-value-store,time-based-key-value-store/,fu2cD_6E8Hw,Binary Search
0004-median-of-two-sorted-arrays,median-of-two-sorted-arrays/,q6IEA26hvXc,Binary Search
0206-reverse-linked-list,reverse-linked-list/,G0_I-ZF0S38,Linked List
0021-merge-two-sorted-lists,merge-two-sorted-lists/,XIdigk956u0,Linked List
0143-reorder-list,reorder-list/,S5bfdUTrKLM,Linked List
0019-remove-nth-node-from-end-of-list,remove-nth-node-from-end-of-list/,XVuQxVej6y8,Linked List
0138-copy-list-with-random-pointer,copy-list-with-random-pointer/,5Y2EiZST97Y,Linked List
0002-add-two-numbers,add-two-numbers/,wgFPrzTjm7s,Linked List
